2014-01-01,32.6587
2014-01-10,33.1547
2014-01-11,33.2062
2014-01-14,33.1204
2014-01-15,33.2386
2014-01-16,33.3562
2014-01-17,33.4013
2014-01-18,33.4343
2014-01-21,33.6429
2014-01-22,33.8161
2014-01-23,33.8688
2014-01-24,34.0334
2014-01-25,34.26
2014-01-28,34.7093
2014-01-29,34.625
2014-01-30,34.5633
2014-01-31,35.2448
2014-02-01,35.18
2014-02-04,35.2347
2014-02-05,35.4502
2014-02-06,34.9592
2014-02-07,34.7287
2014-02-08,34.6044
2014-02-11,34.7636
2014-02-12,34.7964
2014-02-13,34.7595
2014-02-14,34.8611
2014-02-15,35.2559
2014-02-18,35.0976
2014-02-19,35.2386
2014-02-20,35.5857
2014-02-21,35.767
2014-02-22,35.6828
2014-02-25,35.5112
2014-02-26,35.5669
2014-02-27,35.7872
2014-02-28,36.0501
2014-03-01,36.1847
2014-03-04,36.3784
2014-03-05,36.3208
2014-03-06,36.0849
2014-03-07,36.1251
2014-03-08,36.2618
2014-03-12,36.4015
2014-03-13,36.4865
2014-03-14,36.4566
2014-03-15,36.6391
2014-03-18,36.6505
2014-03-19,36.4487
2014-03-20,36.207
2014-03-21,36.1081
2014-03-22,36.4022
2014-03-25,36.1663
2014-03-26,35.9316
2014-03-27,35.4494
2014-03-28,35.581
2014-03-29,35.6871
2014-04-01,35.6053
2014-04-02,35.024
2014-04-03,35.2517
2014-04-04,35.5154
2014-04-05,35.501
2014-04-08,35.4679
2014-04-09,35.5475
2014-04-10,35.7493
2014-04-11,35.5581
2014-04-12,35.6239
2014-04-15,35.989
2014-04-16,35.9635
2014-04-17,36.0813
2014-04-18,35.9287
2014-04-19,35.5389
2014-04-22,35.6688
2014-04-23,35.6785
2014-04-24,35.6625
2014-04-25,35.683
2014-04-26,35.9289
2014-04-29,36.0245
2014-04-30,35.6983
2014-05-01,35.7227
2014-05-06,35.8381
2014-05-07,35.655
2014-05-08,35.4971
2014-05-09,35.0343
2014-05-13,35.2091
2014-05-14,34.8789
2014-05-15,34.709
2014-05-16,34.7005
2014-05-17,34.7794
2014-05-20,34.7394
2014-05-21,34.6007
2014-05-22,34.5078
2014-05-23,34.2802
2014-05-24,34.3139
2014-05-27,34.0771
2014-05-28,34.2571
2014-05-29,34.4895
2014-05-30,34.6481
2014-05-31,34.7352
2014-06-03,34.8887
2014-06-04,35.0115
2014-06-05,35.1398
2014-06-06,34.9043
2014-06-07,34.6573
2014-06-10,34.3303
2014-06-11,34.3681
2014-06-12,34.3227
2014-06-17,34.5654
2014-06-18,34.8095
