2015-01-01,56.2376
2015-01-13,62.7363
2015-01-14,64.8425
2015-01-15,66.0983
2015-01-16,64.8337
2015-01-17,65.1738
2015-01-20,64.9732
2015-01-21,64.9862
2015-01-22,65.5558
2015-01-23,65.4
2015-01-24,63.393
2015-01-27,65.5937
2015-01-28,67.8153
2015-01-29,67.1506
2015-01-30,68.7303
2015-01-31,68.9291
2015-02-03,69.664
2015-02-04,67.7727
2015-02-05,65.447
2015-02-06,68.6113
2015-02-07,66.0432
2015-02-10,65.7817
2015-02-11,65.4469
2015-02-12,66.0585
2015-02-13,66.0994
2015-02-14,65.0862
2015-02-17,62.6632
2015-02-18,62.8353
2015-02-19,62.4001
2015-02-20,62.1307
2015-02-21,61.7235
2015-02-25,63.5083
2015-02-26,62.5906
2015-02-27,60.7109
2015-02-28,61.2718
2015-03-03,62.2248
2015-03-04,62.3649
2015-03-05,61.8745
2015-03-06,61.8457
2015-03-07,59.9938
2015-03-11,60.6649
2015-03-12,62.6797
2015-03-13,60.9595
2015-03-14,61.3167
2015-03-17,62.1497
2015-03-18,61.751
2015-03-19,61.3483
2015-03-20,59.8308
2015-03-21,60.0341
2015-03-24,59.4452
2015-03-25,58.771
2015-03-26,57.3879
2015-03-27,56.4271
2015-03-28,57.7279
2015-03-31,58.4643
2015-04-01,57.65
2015-04-02,58.3536
2015-04-03,56.9902
2015-04-04,56.7534
2015-04-07,56.5161
2015-04-08,55.3328
2015-04-09,54.027
2015-04-10,52.5424
2015-04-11,51.0678
2015-04-14,52.422
2015-04-15,51.9749
2015-04-16,50.5033
2015-04-17,49.6749
2015-04-18,50.5295
2015-04-21,51.5207
2015-04-22,53.9728
2015-04-23,53.6555
2015-04-24,51.6011
2015-04-25,50.2473
2015-04-28,51.469
2015-04-29,52.3041
2015-04-30,51.7029
2015-05-01,51.1388
2015-05-06,51.7574
2015-05-07,49.9816
2015-05-08,50.3615
2015-05-09,50.7511
2015-05-13,50.914
2015-05-14,49.5366
2015-05-15,50.0774
2015-05-16,50.0115
2015-05-19,49.2175
2015-05-20,49.1777
2015-05-21,49.7919
2015-05-22,49.9204
2015-05-23,49.7901
2015-05-26,49.8613
2015-05-27,50.3223
2015-05-28,51.0178
2015-05-29,52.2907
2015-05-30,52.9716
2015-06-02,52.8213
2015-06-03,53.4413
2015-06-04,53.059
2015-06-05,54.9908
2015-06-06,56.2463
2015-06-09,56.0435
2015-06-10,55.91
2015-06-11,54.8219
2015-06-12,54.5285
2015-06-16,55.2679
2015-06-17,54.0409
2015-06-18,53.8999
2015-06-19,53.3301
2015-06-20,53.8006
2015-06-23,53.5569
2015-06-24,54.2081
2015-06-25,54.0746
2015-06-26,54.6026
2015-06-27,54.8126
2015-06-30,55.524
2015-07-01,55.8413
2015-07-02,55.4756
2015-07-03,55.6555
2015-07-04,55.6049
2015-07-07,56.4112
2015-07-08,57.2192
2015-07-09,57.2174
2015-07-10,56.9803
2015-07-11,56.6685
2015-07-14,56.6079
2015-07-15,56.9774
2015-07-16,56.6642
2015-07-17,56.9504
2015-07-18,56.8423
2015-07-21,56.8336
2015-07-22,57.0025
2015-07-23,57.0232
2015-07-24,57.3578
2015-07-25,58.0374
2015-07-28,58.7816
2015-07-29,60.2231
2015-07-30,59.7665
2015-07-31,58.9906
2015-08-01,60.3458
2015-08-04,62.4677
2015-08-05,62.9182
2015-08-06,62.7184
2015-08-07,63.8644
2015-08-08,63.8399
2015-08-11,64.4977
2015-08-12,63.2098
2015-08-13,65.0169
2015-08-14,63.9988
2015-08-15,64.9363
2015-08-18,65.5034
2015-08-19,65.8289
2015-08-20,65.7222
2015-08-21,66.9608
2015-08-22,68.1216
2015-08-25,70.7465
2015-08-26,69.9461
2015-08-27,69.3142
2015-08-28,67.4473
2015-08-29,66.4779
2015-09-01,66.7152
2015-09-02,65.3495
2015-09-03,66.6756
2015-09-04,67.0102
2015-09-05,67.685
2015-09-08,68.4864
2015-09-09,68.7932
2015-09-10,67.6219
2015-09-11,68.4961
2015-09-12,68.0093
2015-09-15,67.9571
2015-09-16,67.1574
2015-09-17,65.9273
2015-09-18,65.3623
2015-09-19,65.6445
2015-09-22,66.1455
2015-09-23,66.1747
2015-09-24,66.041
2015-09-25,66.5151
2015-09-26,65.6727
2015-09-29,65.547
2015-09-30,66.2367
2015-10-01,65.7364
2015-10-02,65.0336
2015-10-03,65.9414
2015-10-06,65.6248
2015-10-07,65.0962
2015-10-08,62.7061
2015-10-09,62.2942
2015-10-10,61.2967
2015-10-13,61.1535
2015-10-14,62.2237
2015-10-15,63.1248
2015-10-16,62.2433
2015-10-17,61.3587
2015-10-20,61.4419
2015-10-21,62.162
2015-10-22,62.6309
2015-10-23,62.7888
2015-10-24,61.9286
2015-10-27,62.5038
2015-10-28,63.5004
2015-10-29,65.3159
2015-10-30,64.1686
2015-10-31,64.3742
2015-11-03,63.7993
2015-11-04,63.8525
2015-11-06,63.3991
2015-11-07,63.6832
2015-11-10,64.6606
2015-11-11,64.3908
2015-11-12,64.5693
2015-11-13,65.4541
2015-11-14,66.6343
2015-11-17,66.4607
2015-11-18,65.4799
2015-11-19,64.7785
2015-11-20,64.912
2015-11-21,64.8673
2015-11-24,65.5973
2015-11-25,65.621
2015-11-26,65.4789
2015-11-27,65.6836
2015-11-28,66.2393
2015-12-01,66.737
2015-12-02,66.2584
2015-12-03,66.7402
2015-12-04,67.7691
2015-12-05,67.6698
2015-12-08,68.5156
2015-12-09,69.3026
2015-12-10,69.2
2015-12-11,69.2151
2015-12-12,69.1755
2015-12-15,70.2244
2015-12-16,70.8295
2015-12-17,70.4012
2015-12-18,70.5806
2015-12-19,71.3215
2015-12-22,71.2553
2015-12-23,71.1211
2015-12-24,70.9333
2015-12-25,69.5165
2015-12-26,70.269
2015-12-29,70.7865
2015-12-30,72.5066
2015-12-31,72.8827
